"Frase","Encuestado","Posición_énfasis","Nivel_énfasis","Respuesta_posición","Respuesta_naturalidad"
"No, las almas de hombres vuelan por valles del Hades.","69258094","1","3","1","2"
"No, las almas de hombres vuelan por valles del Hades.","69295526","1","3","6","3"
"No, las almas de hombres vuelan por valles del Hades.","69353968","1","3","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69418523","1","3","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69463764","1","3","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69503520","1","3","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69528906","1","3","1","5"
"No, las almas de hombres vuelan por valles del Hades.","69531549","1","3","1","5"
"No, las almas de hombres vuelan por valles del Hades.","69603169","1","3","1","5"
"No, las almas de hombres vuelan por valles del Hades.","69736333","1","3","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69757391","1","3","1","3"
"No, las almas de hombres vuelan por valles del Hades.","70427351","1","3","1","3"
"No, las almas de hombres vuelan por valles del Hades.","70437949","1","3","1","4"
"No, las almas de hombres vuelan por valles del Hades.","70735035","1","3","6","3"
"No, las almas de hombres vuelan por valles del Hades.","71123190","1","3","1","2"
"No, las almas de hombres vuelan por valles del Hades.","71362020","1","3","6","4"
"No, las almas de hombres vuelan por valles del Hades.","71615927","1","3","1","3"
"No, las almas de hombres vuelan por valles del Hades.","71616815","1","3","1","3"
"No, las almas de hombres vuelan por valles del Hades.","73692430","1","3","1","2"
"No, las almas de hombres vuelan por valles del Hades.","68534205","1","4","1","4"
"No, las almas de hombres vuelan por valles del Hades.","68655582","1","4","1","4"
"No, las almas de hombres vuelan por valles del Hades.","68687970","1","4","1","3"
"No, las almas de hombres vuelan por valles del Hades.","68692134","1","4","1","3"
"No, las almas de hombres vuelan por valles del Hades.","68706786","1","4","1","4"
"No, las almas de hombres vuelan por valles del Hades.","68722127","1","4","1","4"
"No, las almas de hombres vuelan por valles del Hades.","68748144","1","4","1","1"
"No, las almas de hombres vuelan por valles del Hades.","68949299","1","4","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68955518","1","4","1","4"
"No, las almas de hombres vuelan por valles del Hades.","69008362","1","4","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69049888","1","4","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69136153","1","4","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69151399","1","4","1","5"
"No, las almas de hombres vuelan por valles del Hades.","69208413","1","4","1","4"
"No, las almas de hombres vuelan por valles del Hades.","69224568","1","4","1","2"
"No, las almas de hombres vuelan por valles del Hades.","69239198","1","4","1","2"
"No, las almas de hombres vuelan por valles del Hades.","69258094","1","4","1","2"
"No, las almas de hombres vuelan por valles del Hades.","69295526","1","4","1","4"
"No, las almas de hombres vuelan por valles del Hades.","69353968","1","4","1","4"
"No, las almas de hombres vuelan por valles del Hades.","69418523","1","4","6","2"
"No, las almas de hombres vuelan por valles del Hades.","69463764","1","4","1","4"
"No, las almas de hombres vuelan por valles del Hades.","69503520","1","4","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69528906","1","4","1","2"
"No, las almas de hombres vuelan por valles del Hades.","69531549","1","4","1","4"
"No, las almas de hombres vuelan por valles del Hades.","69603169","1","4","1","4"
"No, las almas de hombres vuelan por valles del Hades.","69736333","1","4","1","4"
"No, las almas de hombres vuelan por valles del Hades.","69757391","1","4","1","2"
"No, las almas de hombres vuelan por valles del Hades.","70427351","1","4","1","1"
"No, las almas de hombres vuelan por valles del Hades.","70437949","1","4","1","2"
"No, las almas de hombres vuelan por valles del Hades.","70735035","1","4","1","5"
"No, las almas de hombres vuelan por valles del Hades.","71123190","1","4","1","2"
"No, las almas de hombres vuelan por valles del Hades.","71362020","1","4","1","2"
"No, las almas de hombres vuelan por valles del Hades.","71615927","1","4","1","3"
"No, las almas de hombres vuelan por valles del Hades.","71616815","1","4","1","3"
"No, las almas de hombres vuelan por valles del Hades.","73692430","1","4","1","2"
"No, las almas de hombres vuelan por valles del Hades.","68534205","1","5","1","3"
"No, las almas de hombres vuelan por valles del Hades.","68655582","1","5","1","2"
"No, las almas de hombres vuelan por valles del Hades.","68687970","1","5","1","3"
"No, las almas de hombres vuelan por valles del Hades.","68692134","1","5","1","2"
"No, las almas de hombres vuelan por valles del Hades.","68706786","1","5","1","4"
"No, las almas de hombres vuelan por valles del Hades.","68722127","1","5","1","3"
"No, las almas de hombres vuelan por valles del Hades.","68748144","1","5","1","1"
"No, las almas de hombres vuelan por valles del Hades.","68949299","1","5","1","3"
"No, las almas de hombres vuelan por valles del Hades.","68955518","1","5","1","5"
"No, las almas de hombres vuelan por valles del Hades.","69008362","1","5","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69049888","1","5","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69136153","1","5","1","2"
"No, las almas de hombres vuelan por valles del Hades.","69151399","1","5","1","4"
"No, las almas de hombres vuelan por valles del Hades.","69208413","1","5","1","2"
"No, las almas de hombres vuelan por valles del Hades.","69224568","1","5","1","2"
"No, las almas de hombres vuelan por valles del Hades.","69239198","1","5","1","2"
"No, las almas de hombres vuelan por valles del Hades.","69258094","1","5","1","2"
"No, las almas de hombres vuelan por valles del Hades.","69295526","1","5","6","3"
"No, las almas de hombres vuelan por valles del Hades.","69353968","1","5","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69418523","1","5","1","2"
"No, las almas de hombres vuelan por valles del Hades.","69463764","1","5","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69503520","1","5","1","2"
"No, las almas de hombres vuelan por valles del Hades.","69528906","1","5","1","2"
"No, las almas de hombres vuelan por valles del Hades.","69531549","1","5","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69603169","1","5","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69736333","1","5","1","2"
"No, las almas de hombres vuelan por valles del Hades.","69757391","1","5","1","1"
"No, las almas de hombres vuelan por valles del Hades.","70427351","1","5","1","1"
"No, las almas de hombres vuelan por valles del Hades.","70437949","1","5","1","4"
"No, las almas de hombres vuelan por valles del Hades.","70735035","1","5","1","2"
"No, las almas de hombres vuelan por valles del Hades.","71123190","1","5","4","2"
"No, las almas de hombres vuelan por valles del Hades.","71362020","1","5","1","1"
"No, las almas de hombres vuelan por valles del Hades.","71615927","1","5","1","3"
"No, las almas de hombres vuelan por valles del Hades.","71616815","1","5","1","1"
"No, las almas de hombres vuelan por valles del Hades.","73692430","1","5","1","2"
"No, las almas de hombres vuelan por valles del Hades.","68534205","2","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68655582","2","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","68687970","2","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68692134","2","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","68706786","2","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68722127","2","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68748144","2","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68949299","2","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68955518","2","2","2","4"
"No, las almas de hombres vuelan por valles del Hades.","69008362","2","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","69049888","2","2","6","2"
"No, las almas de hombres vuelan por valles del Hades.","69136153","2","2","2","3"
"No, las almas de hombres vuelan por valles del Hades.","69151399","2","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69208413","2","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","69224568","2","2","1","5"
"No, las almas de hombres vuelan por valles del Hades.","69239198","2","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","69258094","2","2","2","4"
"No, las almas de hombres vuelan por valles del Hades.","69295526","2","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69353968","2","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69418523","2","2","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69463764","2","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69503520","2","2","4","4"
"No, las almas de hombres vuelan por valles del Hades.","69528906","2","2","1","5"
"No, las almas de hombres vuelan por valles del Hades.","69531549","2","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69603169","2","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69736333","2","2","2","4"
"No, las almas de hombres vuelan por valles del Hades.","69757391","2","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","70427351","2","2","6","3"
"No, las almas de hombres vuelan por valles del Hades.","70437949","2","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","70735035","2","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","71123190","2","2","2","3"
"No, las almas de hombres vuelan por valles del Hades.","71362020","2","2","4","4"
"No, las almas de hombres vuelan por valles del Hades.","71615927","2","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","71616815","2","2","4","3"
"No, las almas de hombres vuelan por valles del Hades.","73692430","2","2","6","3"
"No, las almas de hombres vuelan por valles del Hades.","68534205","2","3","2","3"
"No, las almas de hombres vuelan por valles del Hades.","68655582","2","3","1","5"
"No, las almas de hombres vuelan por valles del Hades.","68687970","2","3","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68692134","2","3","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68706786","2","3","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68722127","2","3","6","3"
"No, las almas de hombres vuelan por valles del Hades.","68748144","2","3","2","2"
"No, las almas de hombres vuelan por valles del Hades.","68949299","2","3","4","3"
"No, las almas de hombres vuelan por valles del Hades.","68955518","2","3","6","2"
"No, las almas de hombres vuelan por valles del Hades.","69008362","2","3","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69049888","2","3","6","2"
"No, las almas de hombres vuelan por valles del Hades.","69136153","2","3","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69151399","2","3","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69208413","2","3","6","3"
"No, las almas de hombres vuelan por valles del Hades.","69224568","2","3","1","3"
"No, las almas de hombres vuelan por valles del Hades.","69239198","2","3","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69258094","2","3","2","3"
"No, las almas de hombres vuelan por valles del Hades.","69295526","2","3","6","4"
"No, las almas de hombres vuelan por valles del Hades.","69353968","2","3","2","3"
"No, las almas de hombres vuelan por valles del Hades.","69418523","2","3","6","2"
"No, las almas de hombres vuelan por valles del Hades.","69463764","2","3","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69503520","2","3","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69528906","2","3","1","4"
"No, las almas de hombres vuelan por valles del Hades.","69531549","2","3","2","3"
"No, las almas de hombres vuelan por valles del Hades.","69603169","2","3","2","4"
"No, las almas de hombres vuelan por valles del Hades.","69736333","2","3","6","4"
"No, las almas de hombres vuelan por valles del Hades.","69757391","2","3","2","2"
"No, las almas de hombres vuelan por valles del Hades.","70427351","2","3","2","2"
"No, las almas de hombres vuelan por valles del Hades.","70437949","2","3","2","2"
"No, las almas de hombres vuelan por valles del Hades.","70735035","2","3","2","2"
"No, las almas de hombres vuelan por valles del Hades.","71123190","2","3","4","3"
"No, las almas de hombres vuelan por valles del Hades.","71362020","2","3","2","2"
"No, las almas de hombres vuelan por valles del Hades.","71615927","2","3","6","3"
"No, las almas de hombres vuelan por valles del Hades.","71616815","2","3","1","3"
"No, las almas de hombres vuelan por valles del Hades.","73692430","2","3","6","3"
"No, las almas de hombres vuelan por valles del Hades.","68534205","2","4","2","2"
"No, las almas de hombres vuelan por valles del Hades.","68655582","2","4","2","3"
"No, las almas de hombres vuelan por valles del Hades.","68687970","2","4","1","4"
"No, las almas de hombres vuelan por valles del Hades.","68692134","2","4","2","3"
"No, las almas de hombres vuelan por valles del Hades.","68706786","2","4","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68722127","2","4","2","3"
"No, las almas de hombres vuelan por valles del Hades.","68748144","2","4","2","2"
"No, las almas de hombres vuelan por valles del Hades.","68949299","2","4","2","2"
"No, las almas de hombres vuelan por valles del Hades.","68955518","2","4","2","3"
"No, las almas de hombres vuelan por valles del Hades.","69008362","2","4","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69049888","2","4","2","3"
"No, las almas de hombres vuelan por valles del Hades.","69136153","2","4","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69151399","2","4","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69208413","2","4","1","2"
"No, las almas de hombres vuelan por valles del Hades.","69224568","2","4","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69239198","2","4","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69258094","2","4","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69295526","2","4","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69353968","2","4","2","3"
"No, las almas de hombres vuelan por valles del Hades.","69418523","2","4","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69463764","2","4","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69503520","2","4","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69528906","2","4","2","3"
"No, las almas de hombres vuelan por valles del Hades.","69531549","2","4","6","4"
"No, las almas de hombres vuelan por valles del Hades.","69603169","2","4","2","4"
"No, las almas de hombres vuelan por valles del Hades.","69736333","2","4","2","3"
"No, las almas de hombres vuelan por valles del Hades.","69757391","2","4","2","1"
"No, las almas de hombres vuelan por valles del Hades.","70427351","2","4","2","1"
"No, las almas de hombres vuelan por valles del Hades.","70437949","2","4","2","4"
"No, las almas de hombres vuelan por valles del Hades.","70735035","2","4","2","2"
"No, las almas de hombres vuelan por valles del Hades.","71123190","2","4","2","2"
"No, las almas de hombres vuelan por valles del Hades.","71362020","2","4","2","2"
"No, las almas de hombres vuelan por valles del Hades.","71615927","2","4","2","2"
"No, las almas de hombres vuelan por valles del Hades.","71616815","2","4","2","2"
"No, las almas de hombres vuelan por valles del Hades.","73692430","2","4","2","2"
"No, las almas de hombres vuelan por valles del Hades.","68534205","2","5","2","2"
"No, las almas de hombres vuelan por valles del Hades.","68655582","2","5","2","2"
"No, las almas de hombres vuelan por valles del Hades.","68687970","2","5","2","3"
"No, las almas de hombres vuelan por valles del Hades.","68692134","2","5","2","3"
"No, las almas de hombres vuelan por valles del Hades.","68706786","2","5","2","2"
"No, las almas de hombres vuelan por valles del Hades.","68722127","2","5","2","2"
"No, las almas de hombres vuelan por valles del Hades.","68748144","2","5","2","2"
"No, las almas de hombres vuelan por valles del Hades.","68949299","2","5","2","1"
"No, las almas de hombres vuelan por valles del Hades.","68955518","2","5","2","3"
"No, las almas de hombres vuelan por valles del Hades.","69008362","2","5","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69049888","2","5","2","3"
"No, las almas de hombres vuelan por valles del Hades.","69136153","2","5","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69151399","2","5","2","1"
"No, las almas de hombres vuelan por valles del Hades.","69208413","2","5","2","1"
"No, las almas de hombres vuelan por valles del Hades.","69224568","2","5","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69239198","2","5","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69258094","2","5","2","1"
"No, las almas de hombres vuelan por valles del Hades.","69295526","2","5","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69353968","2","5","6","3"
"No, las almas de hombres vuelan por valles del Hades.","69418523","2","5","6","2"
"No, las almas de hombres vuelan por valles del Hades.","69463764","2","5","2","4"
"No, las almas de hombres vuelan por valles del Hades.","69503520","2","5","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69528906","2","5","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69531549","2","5","2","3"
"No, las almas de hombres vuelan por valles del Hades.","69603169","2","5","2","3"
"No, las almas de hombres vuelan por valles del Hades.","69736333","2","5","2","2"
"No, las almas de hombres vuelan por valles del Hades.","69757391","2","5","2","1"
"No, las almas de hombres vuelan por valles del Hades.","70427351","2","5","2","1"
"No, las almas de hombres vuelan por valles del Hades.","70437949","2","5","2","3"
"No, las almas de hombres vuelan por valles del Hades.","70735035","2","5","2","2"
"No, las almas de hombres vuelan por valles del Hades.","71123190","2","5","2","2"
"No, las almas de hombres vuelan por valles del Hades.","71362020","2","5","2","2"
"No, las almas de hombres vuelan por valles del Hades.","71615927","2","5","6","3"
"No, las almas de hombres vuelan por valles del Hades.","71616815","2","5","1","3"
"No, las almas de hombres vuelan por valles del Hades.","73692430","2","5","2","2"
"No, las almas de hombres vuelan por valles del Hades.","68534205","3","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68655582","3","2","3","5"
"No, las almas de hombres vuelan por valles del Hades.","68687970","3","2","1","4"
"No, las almas de hombres vuelan por valles del Hades.","68692134","3","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","68706786","3","2","3","4"
"No, las almas de hombres vuelan por valles del Hades.","68722127","3","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68748144","3","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68949299","3","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","68955518","3","2","3","4"
"No, las almas de hombres vuelan por valles del Hades.","69008362","3","2","3","4"
"No, las almas de hombres vuelan por valles del Hades.","69049888","3","2","6","3"
"No, las almas de hombres vuelan por valles del Hades.","69136153","3","2","3","4"
"No, las almas de hombres vuelan por valles del Hades.","69151399","3","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69208413","3","2","3","4"
"No, las almas de hombres vuelan por valles del Hades.","69224568","3","2","4","3"
"No, las almas de hombres vuelan por valles del Hades.","69239198","3","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","69258094","3","2","3","5"
"No, las almas de hombres vuelan por valles del Hades.","69295526","3","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69353968","3","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69418523","3","2","6","3"
"No, las almas de hombres vuelan por valles del Hades.","69463764","3","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69503520","3","2","4","4"
"No, las almas de hombres vuelan por valles del Hades.","69528906","3","2","3","5"
"No, las almas de hombres vuelan por valles del Hades.","69531549","3","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69603169","3","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69736333","3","2","3","4"
"No, las almas de hombres vuelan por valles del Hades.","69757391","3","2","3","4"
"No, las almas de hombres vuelan por valles del Hades.","70427351","3","2","3","3"
"No, las almas de hombres vuelan por valles del Hades.","70437949","3","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","70735035","3","2","6","5"
"No, las almas de hombres vuelan por valles del Hades.","71123190","3","2","4","4"
"No, las almas de hombres vuelan por valles del Hades.","71362020","3","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","71615927","3","2","6","4"
"No, las almas de hombres vuelan por valles del Hades.","71616815","3","2","6","3"
"No, las almas de hombres vuelan por valles del Hades.","73692430","3","2","6","3"
"No, las almas de hombres vuelan por valles del Hades.","68534205","3","3","3","4"
"No, las almas de hombres vuelan por valles del Hades.","68655582","3","3","3","4"
"No, las almas de hombres vuelan por valles del Hades.","68687970","3","3","3","3"
"No, las almas de hombres vuelan por valles del Hades.","68692134","3","3","6","5"
"No, las almas de hombres vuelan por valles del Hades.","68706786","3","3","3","4"
"No, las almas de hombres vuelan por valles del Hades.","68722127","3","3","3","4"
"No, las almas de hombres vuelan por valles del Hades.","68748144","3","3","3","3"
"No, las almas de hombres vuelan por valles del Hades.","68949299","3","3","3","3"
"No, las almas de hombres vuelan por valles del Hades.","68955518","3","3","3","5"
"No, las almas de hombres vuelan por valles del Hades.","69008362","3","3","3","4"
"No, las almas de hombres vuelan por valles del Hades.","69049888","3","3","3","3"
"No, las almas de hombres vuelan por valles del Hades.","69136153","3","3","3","3"
"No, las almas de hombres vuelan por valles del Hades.","69151399","3","3","3","3"
"No, las almas de hombres vuelan por valles del Hades.","69208413","3","3","3","4"
"No, las almas de hombres vuelan por valles del Hades.","69224568","3","3","3","2"
"No, las almas de hombres vuelan por valles del Hades.","69239198","3","3","3","2"
"No, las almas de hombres vuelan por valles del Hades.","69258094","3","3","3","3"
"No, las almas de hombres vuelan por valles del Hades.","69295526","3","3","3","4"
"No, las almas de hombres vuelan por valles del Hades.","69353968","3","3","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69418523","3","3","3","2"
"No, las almas de hombres vuelan por valles del Hades.","69463764","3","3","6","5"
"No, las almas de hombres vuelan por valles del Hades.","69503520","3","3","3","3"
"No, las almas de hombres vuelan por valles del Hades.","69528906","3","3","3","4"
"No, las almas de hombres vuelan por valles del Hades.","69531549","3","3","3","4"
"No, las almas de hombres vuelan por valles del Hades.","69603169","3","3","3","4"
"No, las almas de hombres vuelan por valles del Hades.","69736333","3","3","3","3"
"No, las almas de hombres vuelan por valles del Hades.","69757391","3","3","3","3"
"No, las almas de hombres vuelan por valles del Hades.","70427351","3","3","3","2"
"No, las almas de hombres vuelan por valles del Hades.","70437949","3","3","3","4"
"No, las almas de hombres vuelan por valles del Hades.","70735035","3","3","3","4"
"No, las almas de hombres vuelan por valles del Hades.","71123190","3","3","3","3"
"No, las almas de hombres vuelan por valles del Hades.","71362020","3","3","6","4"
"No, las almas de hombres vuelan por valles del Hades.","71615927","3","3","3","3"
"No, las almas de hombres vuelan por valles del Hades.","71616815","3","3","3","3"
"No, las almas de hombres vuelan por valles del Hades.","73692430","3","3","3","3"
"No, las almas de hombres vuelan por valles del Hades.","68534205","3","4","3","3"
"No, las almas de hombres vuelan por valles del Hades.","68655582","3","4","3","3"
"No, las almas de hombres vuelan por valles del Hades.","68687970","3","4","3","3"
"No, las almas de hombres vuelan por valles del Hades.","68692134","3","4","6","5"
"No, las almas de hombres vuelan por valles del Hades.","68706786","3","4","3","4"
"No, las almas de hombres vuelan por valles del Hades.","68722127","3","4","3","4"
"No, las almas de hombres vuelan por valles del Hades.","68748144","3","4","3","2"
"No, las almas de hombres vuelan por valles del Hades.","68949299","3","4","3","1"
"No, las almas de hombres vuelan por valles del Hades.","68955518","3","4","3","2"
"No, las almas de hombres vuelan por valles del Hades.","69008362","3","4","3","3"
"No, las almas de hombres vuelan por valles del Hades.","69049888","3","4","3","3"
"No, las almas de hombres vuelan por valles del Hades.","69136153","3","4","3","3"
"No, las almas de hombres vuelan por valles del Hades.","69151399","3","4","3","2"
"No, las almas de hombres vuelan por valles del Hades.","69208413","3","4","3","4"
"No, las almas de hombres vuelan por valles del Hades.","69224568","3","4","3","2"
"No, las almas de hombres vuelan por valles del Hades.","69239198","3","4","3","2"
"No, las almas de hombres vuelan por valles del Hades.","69258094","3","4","3","1"
"No, las almas de hombres vuelan por valles del Hades.","69295526","3","4","3","5"
"No, las almas de hombres vuelan por valles del Hades.","69353968","3","4","3","4"
"No, las almas de hombres vuelan por valles del Hades.","69418523","3","4","3","2"
"No, las almas de hombres vuelan por valles del Hades.","69463764","3","4","3","2"
"No, las almas de hombres vuelan por valles del Hades.","69503520","3","4","3","3"
"No, las almas de hombres vuelan por valles del Hades.","69528906","3","4","3","2"
"No, las almas de hombres vuelan por valles del Hades.","69531549","3","4","3","3"
"No, las almas de hombres vuelan por valles del Hades.","69603169","3","4","3","3"
"No, las almas de hombres vuelan por valles del Hades.","69736333","3","4","3","3"
"No, las almas de hombres vuelan por valles del Hades.","69757391","3","4","3","3"
"No, las almas de hombres vuelan por valles del Hades.","70427351","3","4","3","2"
"No, las almas de hombres vuelan por valles del Hades.","70437949","3","4","3","3"
"No, las almas de hombres vuelan por valles del Hades.","70735035","3","4","3","4"
"No, las almas de hombres vuelan por valles del Hades.","71123190","3","4","3","3"
"No, las almas de hombres vuelan por valles del Hades.","71362020","3","4","3","1"
"No, las almas de hombres vuelan por valles del Hades.","71615927","3","4","3","2"
"No, las almas de hombres vuelan por valles del Hades.","71616815","3","4","3","3"
"No, las almas de hombres vuelan por valles del Hades.","73692430","3","4","3","3"
"No, las almas de hombres vuelan por valles del Hades.","68534205","3","5","3","2"
